2025-06-05 21:09:46 | INFO     | core.optimized_engine |   Processed 11,900,000 events (1431015 events/s, avg batch: 0.7ms)
2025-06-05 21:09:46 | INFO     | core.optimized_engine |   Processed 12,000,000 events (1414605 events/s, avg batch: 0.7ms)
2025-06-05 21:09:46 | INFO     | data.streaming_data_handler |   Streamed 12,000,000 snapshots. Current: 2025-05-29 06:43:59.281434
2025-06-05 21:09:47 | INFO     | core.optimized_engine |   Processed 12,100,000 events (1447310 events/s, avg batch: 0.7ms)
2025-06-05 21:09:47 | INFO     | core.optimized_engine |   Processed 12,200,000 events (1630756 events/s, avg batch: 0.8ms)
2025-06-05 21:09:47 | INFO     | data.streaming_data_handler |   Streamed 12,200,000 snapshots. Current: 2025-05-29 06:45:04.096878
2025-06-05 21:09:47 | INFO     | core.optimized_engine |   Processed 12,300,000 events (1498501 events/s, avg batch: 0.7ms)
2025-06-05 21:09:47 | INFO     | core.optimized_engine |   Processed 12,400,000 events (1679737 events/s, avg batch: 0.7ms)
2025-06-05 21:09:47 | INFO     | data.streaming_data_handler |   Streamed 12,400,000 snapshots. Current: 2025-05-29 06:45:59.180513
2025-06-05 21:09:48 | INFO     | core.optimized_engine |   Processed 12,500,000 events (1691934 events/s, avg batch: 0.7ms)
2025-06-05 21:09:48 | INFO     | core.optimized_engine |   Processed 12,600,000 events (1483659 events/s, avg batch: 0.7ms)
2025-06-05 21:09:48 | INFO     | data.streaming_data_handler |   Streamed 12,600,000 snapshots. Current: 2025-05-29 06:46:46.802545
2025-06-05 21:09:48 | INFO     | core.optimized_engine |   Processed 12,700,000 events (1455345 events/s, avg batch: 0.7ms)
2025-06-05 21:09:49 | INFO     | core.optimized_engine |   Processed 12,800,000 events (1455850 events/s, avg batch: 0.7ms)
2025-06-05 21:09:49 | INFO     | data.streaming_data_handler |   Streamed 12,800,000 snapshots. Current: 2025-05-29 06:47:41.763827
2025-06-05 21:09:49 | INFO     | core.optimized_engine |   Processed 12,900,000 events (1675042 events/s, avg batch: 0.7ms)
2025-06-05 21:09:49 | INFO     | core.optimized_engine |   Processed 13,000,000 events (1186172 events/s, avg batch: 0.7ms)
2025-06-05 21:09:49 | INFO     | data.streaming_data_handler |   Streamed 13,000,000 snapshots. Current: 2025-05-29 06:48:44.371809
2025-06-05 21:09:50 | INFO     | core.optimized_engine |   Processed 13,100,000 events (1659139 events/s, avg batch: 0.7ms)
2025-06-05 21:09:50 | INFO     | core.optimized_engine |   Processed 13,200,000 events (1430527 events/s, avg batch: 0.7ms)
2025-06-05 21:09:50 | INFO     | data.streaming_data_handler |   Streamed 13,200,000 snapshots. Current: 2025-05-29 06:49:29.629658
2025-06-05 21:09:50 | INFO     | core.optimized_engine |   Processed 13,300,000 events (1620048 events/s, avg batch: 0.7ms)
2025-06-05 21:09:50 | INFO     | core.optimized_engine |   Processed 13,400,000 events (1644825 events/s, avg batch: 0.7ms)
